ordine_data,revenue,google_search_spent,google_performance_max_spent,fb_retargeting_spent,fb_prospecting_spent,google_organico,Sconti
2020-07-01,1878.71,93.04,0.0,0.0,0.0,0,1
2020-07-02,2057.76,81.2,0.0,0.0,0.0,0,1
2020-07-03,1930.55,69.4,0.0,0.0,0.0,0,2
2020-07-04,778.36,34.94,0.0,0.0,0.0,0,0
2020-07-05,1753.69,90.33,0.0,0.0,0.0,0,1
2020-07-06,3016.44,94.84,0.0,0.0,0.0,0,1
2020-07-07,2365.55,90.51,0.0,0.0,0.0,0,2
2020-07-08,2363.86,84.79,0.0,0.0,0.0,0,0
2020-07-09,1803.16,85.06,0.0,0.0,0.0,0,2
2020-07-10,1541.98,68.35,0.0,0.0,0.0,0,0
2020-07-11,985.98,53.09,0.0,0.0,0.0,0,1
2020-07-12,1370.96,77.36,0.0,0.0,0.0,0,1
2020-07-13,2880.98,80.73,0.0,0.0,0.0,0,1
2020-07-14,2802.35,81.57,0.0,0.0,0.0,0,0
2020-07-15,10489.07,77.57,0.0,0.0,0.0,0,7
2020-07-16,10457.8,65.2,0.0,0.0,0.0,0,1
2020-07-17,7033.99,52.17,0.0,0.0,0.0,0,5
2020-07-18,4031.24,57.68,0.0,0.0,0.0,0,1
2020-07-19,5577.11,91.09,0.0,0.0,0.0,0,2
2020-07-20,10846.59,84.95,0.0,0.0,0.0,0,6
2020-07-21,9959.99,77.8,0.0,0.0,0.0,0,6
2020-07-22,8641.53,79.81,0.0,0.0,0.0,0,3
2020-07-23,8183.78,71.4,0.0,0.0,0.0,0,2
2020-07-24,5944.73,58.31,0.0,0.0,0.0,0,3
2020-07-25,4610.64,49.6,0.0,0.0,0.0,0,1
2020-07-26,5487.97,66.81,0.0,0.0,0.0,0,4
2020-07-27,11644.23,90.71,0.0,0.0,0.0,0,4
2020-07-28,8885.58,79.67,0.0,0.0,0.0,0,3
2020-07-29,9295.77,70.92,0.0,0.0,0.0,0,5
2020-07-30,7747.64,60.09,0.0,0.0,0.0,0,3
2020-07-31,5608.38,48.02,0.0,0.0,0.0,0,1
2020-08-01,2988.2,35.34,0.0,0.0,0.0,0,0
2020-08-02,5348.48,65.82,0.0,0.0,0.0,0,0
2020-08-03,9807.08,117.57,0.0,0.0,0.0,0,10
2020-08-04,8879.67,143.51,0.0,0.0,0.0,0,3
2020-08-05,9147.71,111.51,0.0,0.0,0.0,0,5
2020-08-06,7519.13,111.91,0.0,0.0,0.0,0,7
2020-08-07,5808.55,69.66,0.0,0.0,0.0,0,4
2020-08-08,3686.26,61.79,0.0,0.0,0.0,0,2
2020-08-09,4375.03,136.56,0.0,0.0,0.0,0,6
2020-08-10,8510.24,122.12,0.0,0.0,0.0,0,3
2020-08-11,6988.96,118.82,0.0,0.0,0.0,0,0
2020-08-12,5820.27,123.42,0.0,0.0,0.0,0,1
2020-08-13,4786.96,108.22,0.0,0.0,0.0,0,1
2020-08-14,3024.39,81.22,0.0,0.0,0.0,0,0
2020-08-15,1572.99,37.08,0.0,0.0,0.0,0,0
2020-08-16,3771.68,65.75,0.0,0.0,0.0,0,0
2020-08-17,8281.35,65.38,0.0,0.0,0.0,0,2
2020-08-18,7160.5,42.33,0.0,0.0,0.0,0,3
2020-08-19,6525.85,73.84,0.0,0.0,0.0,0,1
2020-08-20,5625.64,60.18,0.0,0.0,0.0,0,2
2020-08-21,4037.93,31.81,0.0,0.0,0.0,0,0
2020-08-22,2315.76,28.71,0.0,0.0,0.0,0,0
2020-08-23,4565.93,33.13,0.0,0.0,0.0,0,0
2020-08-24,9179.96,63.44,0.0,0.0,0.0,0,4
2020-08-25,9094.92,53.02,0.0,0.0,0.0,0,6
2020-08-26,7568.91,51.44,0.0,0.0,0.0,0,4
2020-08-27,7940.92,40.46,0.0,0.0,0.0,0,4
2020-08-28,4711.44,75.09,0.0,0.0,0.0,0,5
2020-08-29,3211.93,30.12,0.0,0.0,0.0,0,1
2020-08-30,5192.5,49.15,0.0,0.0,0.0,0,0
2020-09-01,10326.51,69.38,0.0,0.0,0.0,0,0
2020-09-02,10065.28,76.24,0.0,0.0,0.0,0,0
2020-09-03,11419.54,75.83,0.0,0.0,0.0,0,0
2020-09-04,6264.26,79.96,0.0,0.0,0.0,0,0
2020-09-05,4118.59,105.4,0.0,0.0,0.0,0,0
2020-09-06,6022.66,87.0,0.0,0.0,0.0,0,0
2020-09-07,12442.85,155.29,0.0,0.0,0.0,0,0
2020-09-08,10872.56,175.56,0.0,0.0,0.0,0,0
2020-09-09,9547.32,153.67,0.0,0.0,0.0,0,0
2020-09-10,8606.35,144.6,0.0,0.0,0.0,0,1
2020-09-11,7079.17,84.41,0.0,0.0,0.0,0,0
2020-09-12,3276.7,55.86,0.0,0.0,0.0,0,0
2020-09-13,6853.6,73.77,0.0,0.0,0.0,0,0
2020-09-14,11880.91,119.45,0.0,0.0,0.0,0,0
2020-09-15,12677.61,115.32,0.0,0.0,0.0,0,0
2020-09-16,11191.22,192.56,0.0,0.0,0.0,0,0
2020-09-17,9132.14,178.1,0.0,0.0,0.0,0,0
2020-09-18,4771.97,164.35,0.0,0.0,0.0,0,0
2020-09-19,3926.7,94.79,0.0,0.0,0.0,0,0
2020-09-20,7111.82,159.65,0.0,0.0,0.0,0,0
2020-09-21,12735.91,202.5,0.0,0.0,0.0,0,0
2020-09-22,11654.3,149.99,0.0,0.0,0.0,0,0
2020-09-23,10851.92,163.24,0.0,0.0,0.0,0,0
2020-09-24,8993.2,143.64,0.0,0.0,0.0,0,0
2020-09-25,6215.4,128.96,0.0,0.0,0.0,0,0
2020-09-26,3957.07,119.81,0.0,0.0,0.0,0,0
2020-09-27,7067.48,173.26,0.0,0.0,0.0,0,0
2020-09-28,12271.88,231.14,0.0,0.0,0.0,0,0
2020-09-29,11847.3,163.09,0.0,0.0,0.0,0,0
2020-09-30,9672.76,79.95,0.0,0.0,0.0,0,1
2020-10-01,8872.55,96.84,0.0,0.0,0.0,0,0
2020-10-02,7063.05,61.47,0.0,0.0,0.0,0,0
2020-10-03,3964.66,53.49,0.0,0.0,0.0,0,0
2020-10-04,7146.57,85.59,0.0,0.0,0.0,0,0
